Comment,Sentiment Score,QR Sentiment,Entity Sentiments
"I haven't received a unique code!",-0.800000011920929,N/A,"code:-0.10000000149011612, "
"Can't get through",-0.800000011920929,N/A,""
"It's very difficult to scan the barcode, after 7 attempts I gave up, no point in having the app if this is the case. I will try again in a different venue",-0.6000000238418579,N/A,"point:-0.5, barcode:-0.20000000298023224, attempts:-0.4000000059604645, app:-0.699999988079071, venue:0, "
"When will this be available for all? I work in Newham but can't download the app. Shouldn't this app be expedited for everyone by now?",-0.5,N/A,"all:0, everyone:0, app:-0.800000011920929, Newham:0, app:-0.800000011920929, "
"I'm an NHS Volunteer Responder and have been invited to trial the app. Download and set up was easy, I was emailed an access code for the trial which I needed to input, plus my postcode. After that it's very easy to follow and the instructions are really simple - the contact proximity tracing looks ...",0.5,N/A,"NHS Volunteer Responder:0, app:-0.10000000149011612, trial:0, Download:0.4000000059604645, access code:0, instructions:0.8999999761581421, contact proximity tracing:0.8999999761581421, postcode:0.20000000298023224, "
"Excellent",0.8999999761581421,N/A,"Excellent:0.8999999761581421, "
"No code to use the app.",-0.800000011920929,N/A,"code:-0.4000000059604645, app:-0.6000000238418579, "
"Not for UK",-0.699999988079071,N/A,"UK:-0.10000000149011612, "
"Pretty easy to use and not that difficult to understand. But the codes should be different for everyone in the country as it can be confusing using the same 5 codes for so many people.",0.20000000298023224,N/A,"codes:-0.10000000149011612, everyone:0, country:0, codes:0, people:0, "
"downloaded as I work in hospitality and quite nervous about being in work, so wanted some reassurance if I do come into contact with someone. Apps not clear how you get the code to sign up.",-0.30000001192092896,N/A,"hospitality:0, reassurance:0, work:0, contact:0, code:0, someone:0, Apps:-0.699999988079071, "
"Been trying for 2 hours solid to download onto my Samsung Galaxy j5. The previous app downloaded in seconds.. **** has now downloaded.",-0.20000000298023224,N/A,"j5:0, Samsung Galaxy:0, app:0, "
"I have downloaded the app and once I open it it asks you to continue but despite trying several attempts it will not let me continue",-0.8999999761581421,N/A,"app:-0.5, attempts:-0.30000001192092896, "
"Apparently I need a code and I'm not being sent one, how do I get a code to use the app.",-0.699999988079071,N/A,"code:0, app:-0.4000000059604645, code:0, "
"Just installed the app. One question : where from do I get my unique code?",0,N/A,"app:0, question:0, code:0.20000000298023224, "
"Only just installed the app. As a NHS Responder I'm apparently in one of the groups which can use the Track 'n' Trace app for now. I do agree with another reviewer regarding the email informing us of the availability of this app could've be a bit better organised. A bulleted order list of the steps ...",0,N/A,"app:0, NHS:0, groups:0, one:0, Responder:0, app:0.30000001192092896, email:0, reviewer:0, bit:0, Track 'n' Trace:0.30000001192092896, order list:0, steps:0, availability:0, "
"I haven't got a code to use the app so it's not easy to use and it doesn't show you what it really means I only downloaded it for while I was at Isla write in case I got in contact with some one with the virus",-0.800000011920929,N/A,"app:-0.4000000059604645, code:-0.10000000149011612, case:0, contact:-0.10000000149011612, one:-0.10000000149011612, virus:-0.6000000238418579, Isla:0, "
"Doesnt work says need a number to start app up but never recieved one neither has alot of friends",-0.800000011920929,N/A,"work:-0.800000011920929, app:-0.20000000298023224, number:0, alot:0, friends:0, "
"Unfortunately none of the invitation codes allocated to my household were considered valid so unable to use. Response from developer unhelpful as I was already aware of that information, and none of the codes I received had already been used by my household. I'd already submitted a technical problem...",-0.699999988079071,N/A,"household:-0.10000000149011612, none:-0.699999988079071, invitation codes:-0.6000000238418579, none:-0.699999988079071, Response:-0.6000000238418579, developer:-0.800000011920929, information:-0.4000000059604645, problem:-0.800000011920929, codes:-0.6000000238418579, "
"We can't even get the app right",-0.800000011920929,N/A,"app right:-0.5, "
"I tried using the T&T yesterday at a restaurant I visited. They had the QR code & I tried to scan it twice. I had a message cone up on the screen of my Samsung phone " sorry, something went wrong" felt kind of deflated that it was unsuccessful for me. First time I've been out socially since lock dow...",-0.4000000059604645,-0.10000000149011612,"restaurant:0, T&T:0, QR code:-0.10000000149011612, something:-0.699999988079071, message cone:-0.10000000149011612, screen:-0.10000000149011612, phone:-0.10000000149011612, time:0, Samsung:0, lock:-0.20000000298023224, "
